"value_numeric","value_nominal","customerid","companyname","country","balance","orderid","orderdate","requireddate","pyear","shippeddate","shipvia","freight","shipname","shipaddress","shipcity","shipregion","shippostalcode","shipcountry","unitprice","quantity","discount","productname","supplierid","categoryid","quantityperunit","p_unitprice","unitsinstock","unitsonorder","reorderlevel","discontinued"
"56","L","HANAR","Hanari Carnes","Brazil","$1,000.00",10248,"1996-07-04 00:00:00","1996-08-01","1996","1996-07-16",3,"$32.38","Vins et alcools Chevalier","59 rue de l'Abbaye","Veszprém",NULL,"51100","France","$14.00",4,"0","Queso Cabrales",5,4,"1 kg pkg.","$21.00",10,30,30,0
"392","M","HANAR","Hanari Carnes","Brazil","$1,000.00",10248,"1996-07-04 00:00:00","1996-08-01","1996","1996-07-16",3,"$32.38","Vins et alcools Chevalier","59 rue de l'Abbaye","Veszprém",NULL,"51100","France","$9.80",40,"0","Singaporean Hokkien Fried Mee",20,5,"32 - 1 kg pkgs.","$14.00",16,0,0,1
"1392","H","HANAR","Hanari Carnes","Brazil","$1,000.00",10248,"1996-07-04 00:00:00","1996-08-01","1996","1996-07-16",3,"$32.38","Vins et alcools Chevalier","59 rue de l'Abbaye","Veszprém",NULL,"51100","France","$34.80",40,"0","Mozzarella di Giovanni",14,4,"24 - 200 g pkgs.","$34.80",9,0,0,0
"167.4","L","HANAR","Hanari Carnes","Brazil","$1,000.00",10249,"1996-07-05 00:00:00","1996-08-16","1996","1996-07-10",1,"$11.61","Toms Spezialitäten","Luisenstr. 48","Veszprém",NULL,"44087","Germany","$18.60",9,"0","Tofu",6,7,"40 - 100 g pkgs.","$23.25",35,0,0,0
"1696","H","HANAR","Hanari Carnes","Brazil","$1,000.00",10249,"1996-07-05 00:00:00","1996-08-16","1996","1996-07-10",1,"$11.61","Toms Spezialitäten","Luisenstr. 48","Veszprém",NULL,"44087","Germany","$42.40",40,"0","Manjimup Dried Apples",24,7,"50 - 300 g pkgs.","$53.00",20,0,10,0
"77","L","HANAR","Hanari Carnes","Brazil","$1,000.00",10250,"1996-07-08 00:00:00","1996-08-05","1996","1996-07-12",2,"$65.83","Hanari Carnes","Rua do Paço, 67","Veszprém","RJ","05454-876","Brazil","$7.70",10,"0","Jack's New England Clam Chowder",19,8,"12 - 12 oz cans","$9.65",85,0,10,0
"1261.4","H","HANAR","Hanari Carnes","Brazil","$1,000.00",10250,"1996-07-08 00:00:00","1996-08-05","1996","1996-07-12",2,"$65.83","Hanari Carnes","Rua do Paço, 67","Veszprém","RJ","05454-876","Brazil","$42.40",35,"0.15","Manjimup Dried Apples",24,7,"50 - 300 g pkgs.","$53.00",20,0,10,0
"214.2","M","HANAR","Hanari Carnes","Brazil","$1,000.00",10250,"1996-07-08 00:00:00","1996-08-05","1996","1996-07-12",2,"$65.83","Hanari Carnes","Rua do Paço, 67","Veszprém","RJ","05454-876","Brazil","$16.80",15,"0.15","Louisiana Fiery Hot Pepper Sauce",2,2,"32 - 8 oz bottles","$21.05",76,0,0,0
"95.76","L","VICTE","Victuailles en stock","France","$1,000.00",10251,"1996-07-08 00:00:00","1996-08-05","1996","1996-07-15",1,"$41.34","Victuailles en stock","2, rue du Commerce","Lyon",NULL,"69004","France","$16.80",6,"0.05","Gustaf's Knäckebröd",9,5,"24 - 500 g pkgs.","$21.00",104,0,25,0
"222.3","M","VICTE","Victuailles en stock","France","$1,000.00",10251,"1996-07-08 00:00:00","1996-08-05","1996","1996-07-15",1,"$41.34","Victuailles en stock","2, rue du Commerce","Lyon",NULL,"69004","France","$15.60",15,"0.05","Ravioli Angelo",26,5,"24 - 250 g pkgs.","$19.50",36,0,20,0
"336","M","VICTE","Victuailles en stock","France","$1,000.00",10251,"1996-07-08 00:00:00","1996-08-05","1996","1996-07-15",1,"$41.34","Victuailles en stock","2, rue du Commerce","Lyon",NULL,"69004","France","$16.80",20,"0","Louisiana Fiery Hot Pepper Sauce",2,2,"32 - 8 oz bottles","$21.05",76,0,0,0
"2462.4","H","SUPRD","Suprêmes délices","Belgium","$1,000.00",10252,"1996-07-09 00:00:00","1996-08-06","1996","1996-07-11",2,"$51.30","Suprêmes délices","Boulevard Tirou, 255","Charleroi",NULL,"B-6000","Belgium","$64.80",40,"0.05","Sir Rodney's Marmalade",8,3,"30 gift boxes","$81.00",40,0,0,0
"47.5","L","SUPRD","Suprêmes délices","Belgium","$1,000.00",10252,"1996-07-09 00:00:00","1996-08-06","1996","1996-07-11",2,"$51.30","Suprêmes délices","Boulevard Tirou, 255","Charleroi",NULL,"B-6000","Belgium","$2.00",25,"0.05","Geitost",15,4,"500 g","$2.50",112,0,20,0
"1088","M","SUPRD","Suprêmes délices","Belgium","$1,000.00",10252,"1996-07-09 00:00:00","1996-08-06","1996","1996-07-11",2,"$51.30","Suprêmes délices","Boulevard Tirou, 255","Charleroi",NULL,"B-6000","Belgium","$27.20",40,"0","Camembert Pierrot",28,4,"15 - 300 g rounds","$34.00",19,0,0,0
"200","M","HANAR","Hanari Carnes","Brazil","$1,000.00",10253,"1996-07-10 00:00:00","1996-07-24","1996","1996-07-16",2,"$58.17","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","$10.00",20,"0","Gorgonzola Telino",14,4,"12 - 100 g pkgs","$12.50",0,70,20,0
"604.8","M","HANAR","Hanari Carnes","Brazil","$1,000.00",10253,"1996-07-10 00:00:00","1996-07-24","1996","1996-07-16",2,"$58.17","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","$14.40",42,"0","Chartreuse verte",18,1,"750 cc per bottle","$23.81",69,0,5,0
"640","M","HANAR","Hanari Carnes","Brazil","$1,000.00",10253,"1996-07-10 00:00:00","1996-07-24","1996","1996-07-16",2,"$58.17","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","$16.00",40,"0","Maxilaku",23,3,"24 - 50 g pkgs.","$20.00",10,60,15,0
